learner_id,session_id,session_number,session_date,institution,country,institution_type,age,prior_experience,archetype,welding_process,welding_position,position_difficulty,session_duration_min,num_exercises,total_practice_minutes,days_since_enrollment,consecutive_practice_days,session_gap_days,score_work_angle,score_travel_angle,score_travel_speed,score_contact_tip_distance,score_arc_length,score_bead_quality,overall_score,improvement_rate
SKV-0002,SKV-0002-S021,21,2025-01-03,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,5G_Pipe,1.7,34,6,930,60,3,5,41.89,45.53,35.93,42.39,41.71,42.25,41.36,0.98
SKV-0002,SKV-0002-S022,22,2025-01-07,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,3G_Vertical,1.35,15,8,945,64,2,4,43.62,51.27,38.08,44.0,47.85,52.03,46.03,4.67
SKV-0002,SKV-0002-S023,23,2025-01-08,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,4G_Overhead,1.55,52,4,997,65,3,1,37.55,44.09,39.63,38.56,46.16,46.33,42.15,-3.88
SKV-0002,SKV-0002-S024,24,2025-01-15,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,4G_Overhead,1.55,39,8,1036,72,2,7,32.23,33.84,38.12,33.68,36.2,44.67,36.95,-5.2
SKV-0002,SKV-0002-S025,25,2025-01-16,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,3G_Vertical,1.35,63,2,1099,73,3,1,51.45,56.34,49.04,53.82,60.04,60.52,55.16,18.21
SKV-0002,SKV-0002-S026,26,2025-01-17,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,4G_Overhead,1.55,49,2,1148,74,4,1,51.92,54.24,48.54,47.2,55.06,62.86,53.54,-1.62
SKV-0002,SKV-0002-S027,27,2025-01-20,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,4G_Overhead,1.55,69,9,1217,77,3,3,38.91,45.97,38.91,47.37,45.49,48.48,44.14,-9.4
SKV-0002,SKV-0002-S028,28,2025-01-21,ITI_Chennai,India,Industrial,27,none,plateau_learner,GTAW,5G_Pipe,1.7,31,3,1248,78,4,1,28.64,47.62,32.01,38.93,40.98,44.07,38.64,-5.5
SKV-0003,SKV-0003-S001,1,2023-10-02,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,2G_Horizontal,1.15,38,3,38,0,0,0,46.16,47.53,45.11,60.07,50.25,41.98,48.02,0.0
SKV-0003,SKV-0003-S002,2,2023-10-04,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,1G_Flat,1.0,20,6,58,2,1,2,50.61,48.98,46.73,57.26,50.63,40.56,48.58,0.56
SKV-0003,SKV-0003-S003,3,2023-10-07,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,1G_Flat,1.0,58,3,116,5,0,3,54.07,51.22,55.36,60.78,51.34,43.23,52.33,3.75
SKV-0003,SKV-0003-S004,4,2023-10-08,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,1G_Flat,1.0,47,6,163,6,1,1,55.39,53.62,55.34,61.77,50.25,36.97,51.62,-0.71
SKV-0003,SKV-0003-S005,5,2023-10-15,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,2G_Horizontal,1.15,49,2,212,13,0,7,47.86,47.26,39.41,52.84,38.99,29.65,41.85,-9.77
SKV-0003,SKV-0003-S006,6,2023-10-16,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,5G_Pipe,1.7,48,7,260,14,1,1,47.64,39.4,41.69,55.2,36.5,34.11,41.97,0.12
SKV-0003,SKV-0003-S007,7,2023-10-18,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,5G_Pipe,1.7,36,5,296,16,2,2,46.93,41.07,34.84,49.54,36.53,32.77,39.63,-2.34
SKV-0003,SKV-0003-S008,8,2023-10-19,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,4G_Overhead,1.55,22,4,318,17,3,1,49.59,52.57,41.99,56.39,38.59,31.17,44.2,4.57
SKV-0003,SKV-0003-S009,9,2023-10-20,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,1G_Flat,1.0,30,7,348,18,4,1,59.51,64.09,68.75,74.48,61.18,57.33,64.1,19.9
SKV-0003,SKV-0003-S010,10,2023-10-22,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,4G_Overhead,1.55,72,7,420,20,5,2,42.58,44.34,41.4,55.06,46.78,41.86,44.97,-19.13
SKV-0003,SKV-0003-S011,11,2023-10-29,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,4G_Overhead,1.55,52,5,472,27,4,7,44.54,41.72,39.75,58.02,44.55,35.07,43.29,-1.68
SKV-0003,SKV-0003-S012,12,2023-11-03,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,4G_Overhead,1.55,56,5,528,32,3,5,48.07,46.72,48.75,51.22,44.72,39.58,46.27,2.98
SKV-0003,SKV-0003-S013,13,2023-11-06,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,3G_Vertical,1.35,38,2,566,35,2,3,41.31,43.78,47.64,56.21,43.36,42.04,45.63,-0.64
SKV-0003,SKV-0003-S014,14,2023-11-08,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,1G_Flat,1.0,15,3,581,37,3,2,59.22,61.74,51.82,62.54,50.59,44.7,54.42,8.79
SKV-0003,SKV-0003-S015,15,2023-11-10,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,2G_Horizontal,1.15,69,7,650,39,4,2,52.39,60.82,54.18,74.7,60.12,49.51,57.94,3.52
SKV-0003,SKV-0003-S016,16,2023-11-15,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,5G_Pipe,1.7,51,6,701,44,3,5,37.67,39.45,39.91,48.0,34.33,28.23,37.55,-20.39
SKV-0003,SKV-0003-S017,17,2023-11-16,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,4G_Overhead,1.55,44,4,745,45,4,1,43.64,34.17,31.87,53.43,42.86,31.14,38.72,1.17
SKV-0003,SKV-0003-S018,18,2023-11-18,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,4G_Overhead,1.55,44,5,789,47,5,2,55.82,61.68,48.27,65.05,50.55,42.05,53.03,14.31
SKV-0003,SKV-0003-S019,19,2023-11-19,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,2G_Horizontal,1.15,34,7,823,48,6,1,70.54,70.81,62.87,75.66,65.11,56.13,66.12,13.09
SKV-0003,SKV-0003-S020,20,2023-11-21,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,4G_Overhead,1.55,54,8,877,50,7,2,58.47,66.28,54.11,70.3,52.57,44.45,56.86,-9.26
SKV-0003,SKV-0003-S021,21,2023-11-22,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,6G_Pipe45,1.9,61,4,938,51,8,1,49.2,49.26,48.84,55.4,45.79,34.1,46.53,-10.33
SKV-0003,SKV-0003-S022,22,2023-11-26,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,6G_Pipe45,1.9,54,3,992,55,7,4,46.08,57.58,49.84,71.85,49.54,40.47,51.82,5.29
SKV-0003,SKV-0003-S023,23,2023-11-27,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,2G_Horizontal,1.15,47,8,1039,56,8,1,68.57,68.08,60.26,76.01,61.97,54.97,64.24,12.42
SKV-0003,SKV-0003-S024,24,2023-11-28,NSDC_Delhi,India,Government,24,none,steady_learner,GTAW,2G_Horizontal,1.15,39,8,1078,57,9,1,65.37,63.67,63.07,73.78,64.86,49.85,62.74,-1.5
SKV-0004,SKV-0004-S001,1,2024-05-11,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,50,8,50,0,0,0,39.36,47.03,44.37,37.45,38.78,46.96,42.66,0.0
SKV-0004,SKV-0004-S002,2,2024-05-12,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,1G_Flat,1.0,58,6,108,1,1,1,61.84,60.83,58.09,39.56,47.15,57.81,54.59,11.93
SKV-0004,SKV-0004-S003,3,2024-05-14,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,53,4,161,3,2,2,49.61,66.7,55.52,45.39,51.38,60.7,55.21,0.62
SKV-0004,SKV-0004-S004,4,2024-05-15,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,1G_Flat,1.0,69,3,230,4,3,1,41.38,52.01,54.55,41.14,44.94,47.19,47.27,-7.94
SKV-0004,SKV-0004-S005,5,2024-05-22,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,1G_Flat,1.0,55,7,285,11,2,7,46.67,54.87,51.71,34.26,34.78,51.86,46.3,-0.97
SKV-0004,SKV-0004-S006,6,2024-05-23,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,2G_Horizontal,1.15,35,3,320,12,3,1,49.78,64.85,66.0,39.55,46.14,58.28,54.9,8.6
SKV-0004,SKV-0004-S007,7,2024-05-24,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,2G_Horizontal,1.15,27,2,347,13,4,1,61.69,70.91,62.73,50.74,55.32,66.1,61.57,6.67
SKV-0004,SKV-0004-S008,8,2024-05-26,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,33,5,380,15,5,2,48.16,63.62,55.41,36.32,45.57,58.49,51.83,-9.74
SKV-0004,SKV-0004-S009,9,2024-05-27,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,42,5,422,16,6,1,45.17,54.8,56.22,36.23,45.54,53.02,49.11,-2.72
SKV-0004,SKV-0004-S010,10,2024-06-01,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,5G_Pipe,1.7,46,5,468,21,5,5,43.49,49.37,48.51,38.67,35.63,49.0,44.58,-4.53
SKV-0004,SKV-0004-S011,11,2024-06-05,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,2G_Horizontal,1.15,56,4,524,25,4,4,61.15,65.44,63.36,45.14,58.76,61.13,59.47,14.89
SKV-0004,SKV-0004-S012,12,2024-06-12,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,1G_Flat,1.0,42,5,566,32,3,7,61.77,61.62,61.66,53.55,47.35,60.47,58.07,-1.4
SKV-0004,SKV-0004-S013,13,2024-06-13,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,4G_Overhead,1.55,23,2,589,33,4,1,50.73,54.35,49.06,34.61,34.98,44.67,44.95,-13.12
SKV-0004,SKV-0004-S014,14,2024-06-14,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,4G_Overhead,1.55,48,2,637,34,5,1,67.5,66.96,58.62,52.34,60.63,64.04,61.65,16.7
SKV-0004,SKV-0004-S015,15,2024-06-15,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,30,7,667,35,6,1,48.36,57.36,62.55,50.43,54.71,58.04,55.75,-5.9
SKV-0004,SKV-0004-S016,16,2024-06-29,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,4G_Overhead,1.55,63,6,730,49,5,14,49.32,56.24,55.48,43.51,48.27,52.33,51.16,-4.59
SKV-0004,SKV-0004-S017,17,2024-06-30,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,46,7,776,50,6,1,45.61,62.58,71.53,50.52,59.05,66.8,60.33,9.17
SKV-0004,SKV-0004-S018,18,2024-07-02,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,5G_Pipe,1.7,49,6,825,52,7,2,51.66,56.86,55.39,38.89,49.94,56.07,51.89,-8.44
SKV-0004,SKV-0004-S019,19,2024-07-05,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,5G_Pipe,1.7,81,5,906,55,6,3,45.31,52.98,52.88,39.02,43.49,51.31,47.96,-3.93
SKV-0004,SKV-0004-S020,20,2024-07-09,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,45,2,951,59,5,4,52.21,66.69,55.99,41.25,48.59,54.92,53.49,5.53
SKV-0004,SKV-0004-S021,21,2024-07-12,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,2G_Horizontal,1.15,36,5,987,62,4,3,64.08,74.3,72.29,57.37,61.34,72.38,67.5,14.01
SKV-0004,SKV-0004-S022,22,2024-07-13,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,2G_Horizontal,1.15,15,7,1002,63,5,1,69.16,76.07,66.55,59.62,59.16,71.75,67.26,-0.24
SKV-0004,SKV-0004-S023,23,2024-07-14,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,39,5,1041,64,6,1,57.01,60.92,61.52,46.04,52.51,61.42,57.06,-10.2
SKV-0004,SKV-0004-S024,24,2024-07-16,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,2G_Horizontal,1.15,44,4,1085,66,7,2,58.13,61.84,63.46,45.86,43.85,58.77,55.9,-1.16
SKV-0004,SKV-0004-S025,25,2024-07-23,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,3G_Vertical,1.35,62,3,1147,73,6,7,63.32,84.32,71.23,61.16,64.2,77.03,70.6,14.7
SKV-0004,SKV-0004-S026,26,2024-07-24,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,4G_Overhead,1.55,51,4,1198,74,7,1,52.5,63.98,56.84,39.93,50.46,55.09,53.42,-17.18
SKV-0004,SKV-0004-S027,27,2024-07-29,Maruti_Training,India,Corporate,28,some_manual,steady_learner,GMAW,1G_Flat,1.0,38,5,1236,79,6,5,67.13,81.62,69.47,48.73,61.56,69.99,66.75,13.33
SKV-0005,SKV-0005-S001,1,2023-05-04,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,1G_Flat,1.0,61,7,61,0,0,0,41.72,36.96,40.51,49.24,46.0,41.81,42.55,0.0
SKV-0005,SKV-0005-S002,2,2023-05-08,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,2G_Horizontal,1.15,49,6,110,4,0,4,39.58,40.17,42.38,47.34,42.72,42.35,42.42,-0.13
SKV-0005,SKV-0005-S003,3,2023-05-09,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,2G_Horizontal,1.15,53,6,163,5,1,1,50.46,56.72,52.05,48.17,50.17,52.73,51.78,9.36
SKV-0005,SKV-0005-S004,4,2023-05-10,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,3G_Vertical,1.35,55,5,218,6,2,1,50.83,39.86,48.28,59.26,49.02,45.79,48.66,-3.12
SKV-0005,SKV-0005-S005,5,2023-05-12,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,1G_Flat,1.0,66,3,284,8,3,2,54.02,45.47,55.03,55.99,52.01,56.03,53.33,4.67
SKV-0005,SKV-0005-S006,6,2023-05-15,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,4G_Overhead,1.55,18,2,302,11,2,3,50.18,42.48,56.01,53.98,51.6,50.47,51.03,-2.3
SKV-0005,SKV-0005-S007,7,2023-05-20,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,4G_Overhead,1.55,73,4,375,16,1,5,38.48,36.35,37.55,41.99,41.18,42.36,39.68,-11.35
SKV-0005,SKV-0005-S008,8,2023-05-21,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,1G_Flat,1.0,67,4,442,17,2,1,66.81,53.81,59.79,70.83,69.4,61.9,63.47,23.79
SKV-0005,SKV-0005-S009,9,2023-05-23,Community_College_CA,USA,CTE_School,20,none,plateau_learner,GMAW,3G_Vertical,1.35,48,8,490,19,3,2,59.25,49.66,55.82,56.62,55.25,54.96,55.27,-8.2
