learner_id,archetype,learning_rate,ceiling,noise_level,institution,country,institution_type,age,prior_experience,experience_bonus,primary_process,enrollment_date,param_strengths,total_sessions
SKV-0011,steady_learner,0.03105665238610765,78.8879165071857,1.0,Community_College_CA,USA,CTE_School,16,none,0,GMAW,2024-10-18,"[1.0616258830023129, 0.9540619618690175, 0.8423950160229708, 1.0157048943938352, 0.9113641367629836, 1.0540931504380922]",27
SKV-0012,steady_learner,0.0812105417145098,84.96438351385312,1.0,Tata_Motors_TC,India,Corporate,42,experienced,15,GMAW,2024-07-07,"[0.8971777761846641, 0.864873524690674, 0.969239118595301, 0.9354342689811834, 1.095741253587492, 0.7768795874007931]",29
SKV-0013,struggling,0.058941137247214594,72.01431643643163,5.948906644237839,Indian_Railways_WS,India,Corporate,32,basic_theory,3,SMAW,2024-07-18,"[1.091715769712621, 0.9798319027342839, 0.7678831891066876, 1.019059832767467, 0.9250895895315167, 1.00002658196764]",35
SKV-0014,slow_starter,0.08094703484906102,81.43746230411749,6.977308958733037,NSDC_Delhi,India,Government,26,basic_theory,3,GTAW,2024-07-02,"[1.0610182667376848, 0.9773547845808896, 1.0278983942103241, 1.1081795839771278, 0.9436904994804813, 1.0035840307909392]",31
SKV-0015,struggling,0.037336060078618914,70.24713710230066,10.891720802227587,NSDC_Delhi,India,Government,19,some_manual,8,GMAW,2024-11-07,"[0.9975881497876418, 0.9074559640540851, 0.7871236460665445, 0.9176740291557784, 0.9259345304022446, 1.0128468943590756]",40
SKV-0016,slow_starter,0.06575829639126349,68.73227127382518,3.0789585648219755,Maruti_Training,India,Corporate,27,none,0,GMAW,2024-08-02,"[0.8053223573392363, 0.8676344081064098, 0.936879011508478, 1.0931219225820383, 0.9465919287045282, 1.0306750942659662]",35
SKV-0017,steady_learner,0.09761834080666279,85.05483275879125,4.752341638538836,NSDC_Delhi,India,Government,25,experienced,15,GTAW,2023-02-08,"[0.8562414872706426, 0.9086948948593606, 1.0450416836248024, 0.7519222135931628, 0.974644285955389, 0.8961659353128661]",28
SKV-0018,fast_learner,0.209891846687277,81.788448610619,1.2991959751521678,Indian_Railways_WS,India,Corporate,28,some_manual,8,GMAW,2024-10-02,"[0.999927237895325, 0.9875347723633835, 1.0840203155399317, 1.0657072415945217, 0.9959244128950873, 1.1259057824040148]",14
SKV-0019,slow_starter,0.08015713794909826,64.92908513855308,3.7233935171382324,Welding_Academy_UK,UK,Vocational,25,some_manual,8,GMAW,2024-01-08,"[0.970965817041066, 1.1211946596048497, 0.8402058260546277, 0.8777275995528823, 0.8073818283784009, 0.9009039699894623]",32
SKV-0020,struggling,0.06915293321683295,58.92261585797957,9.990939041098525,CTE_Ohio,USA,CTE_School,24,experienced,15,GMAW,2024-09-13,"[1.1271478687148075, 0.9333663403713605, 1.1245615032779155, 1.0917055844006627, 1.2073556602458118, 0.9436784240287946]",40
SKV-0021,slow_starter,0.08225268610406604,77.50215796418765,5.171189407889051,Community_College_CA,USA,CTE_School,27,basic_theory,3,SMAW,2024-01-29,"[0.9665952438870528, 1.0927417406252469, 1.0939791865332413, 1.0402065222294605, 1.0677746927089178, 0.974549239609549]",34
SKV-0022,steady_learner,0.0618490531096266,84.09176259673328,2.6963865870978316,CTE_Ohio,USA,CTE_School,23,none,0,GMAW,2024-06-27,"[0.9773036057021899, 0.9204453018688422, 0.7763732751648631, 1.0945740920144544, 1.004057538687377, 1.0845980534461528]",21
SKV-0023,plateau_learner,0.20370874864644556,63.795574691410586,5.89480332686267,CTE_Ohio,USA,CTE_School,37,none,0,GMAW,2024-06-08,"[0.7686693688788162, 1.0715977485681416, 1.1280273542376709, 1.1730527340121772, 1.0226226511437746, 0.7704028754886725]",34
SKV-0024,steady_learner,0.06614096456862378,71.53280266836367,2.964585650144193,Tata_Motors_TC,India,Corporate,16,some_manual,8,GMAW,2023-08-08,"[0.9779751613580241, 0.9862058882209789, 0.822132229158723, 1.138199869965697, 0.9877476329330274, 1.0045063691992675]",32
SKV-0025,fast_learner,0.1858802573075627,90.45411725938324,2.268597497796635,ITI_Chennai,India,Industrial,18,none,0,SMAW,2023-09-01,"[1.1937017472280467, 1.003642138954577, 1.0358820948469745, 1.0087671277813057, 0.9081339442454328, 1.0383665183100246]",17
SKV-0026,steady_learner,0.10441967502869742,87.04530567838309,5.979218455939658,Hyundai_Academy,India,Corporate,19,some_manual,8,GMAW,2024-10-20,"[1.163638341270112, 1.0571719680228868, 0.8628595470283316, 0.8164739398942484, 0.9727487672271953, 1.1103365169432415]",31
SKV-0027,steady_learner,0.12310150326752758,91.03688344464967,3.341725014282743,Maruti_Training,India,Corporate,23,some_manual,8,GMAW,2023-09-27,"[0.8633126190860378, 0.7050196683341178, 0.8823082187604955, 0.9863611789001152, 1.1918947889004081, 1.0807760430679563]",30
SKV-0028,struggling,0.05423944747562974,61.02375447467273,5.140527485734724,Indian_Railways_WS,India,Corporate,24,basic_theory,3,GTAW,2023-12-31,"[1.0435594844119225, 0.8591643528943842, 0.8807294884989528, 1.138349590744577, 1.2280778850066505, 1.0471954165799777]",37
SKV-0029,steady_learner,0.11028247016306279,85.53602370840309,5.597654303098056,Indian_Railways_WS,India,Corporate,24,none,0,GTAW,2023-08-02,"[1.0726117399155501, 1.082337030909012, 0.8305830135110412, 1.178027588995115, 0.9748290963094588, 1.1239595294915667]",22
SKV-0030,struggling,0.038809357899695314,66.7157061397404,7.710846091055309,Community_College_CA,USA,CTE_School,22,basic_theory,3,GMAW,2024-01-16,"[1.148484375227632, 0.9690730526096446, 1.1540025492745847, 0.9875694526423522, 0.896864833186238, 1.0815247804688946]",41
SKV-0031,steady_learner,0.09789860668816106,86.35251296294659,3.7184475911889447,NSDC_Delhi,India,Government,19,experienced,15,SMAW,2023-05-24,"[0.8753518679004796, 1.0008820809903638, 0.8700591365357988, 0.7689685344895018, 1.0872546977782591, 1.0694873887233605]",25
SKV-0032,fast_learner,0.14622471402777995,80.61168154998187,3.1652406471187198,ITI_Chennai,India,Industrial,19,some_manual,8,GMAW,2024-11-21,"[1.0289296715410423, 1.2803175003823442, 0.7894668288091159, 1.3, 1.090802153270639, 1.2192777647368802]",21
SKV-0033,slow_starter,0.05106617121546124,79.44584896555352,4.866907118425829,ITI_Chennai,India,Industrial,23,basic_theory,3,GMAW,2024-02-13,"[1.084941262987953, 1.085721365770952, 0.9924641723094729, 1.0518708741520755, 1.158566229928641, 0.9362079334819817]",33
SKV-0034,steady_learner,0.08483541591445125,87.60207562986986,6.079162353747684,CTE_Michigan,USA,CTE_School,19,none,0,GMAW,2023-09-03,"[1.1345188383687765, 1.077722643791176, 0.9961383221577692, 1.0148481950835706, 1.032344977368561, 0.9697458987427058]",26
SKV-0035,fast_learner,0.12601401954196273,90.15369966990926,3.349827912680088,Community_College_CA,USA,CTE_School,21,basic_theory,3,SMAW,2023-01-23,"[1.108093015814867, 0.9305045395591749, 0.9450619636491777, 1.0950564878974562, 1.0302655604035436, 0.8912538248568767]",18
SKV-0036,slow_starter,0.08409961965079585,80.64264405862589,5.569116002044688,Tata_Motors_TC,India,Corporate,24,basic_theory,3,GMAW,2023-03-15,"[1.024681057472973, 1.2185180522690393, 1.083771545499521, 0.9463135092131183, 1.2812109962835811, 0.9547536313239786]",31
SKV-0037,steady_learner,0.04004437971200375,80.77217210996348,5.041499760526085,ITI_Chennai,India,Industrial,16,none,0,GMAW,2024-01-12,"[1.1256655389946908, 0.7348778217692823, 0.8394078914273688, 0.7008771734399197, 1.1047526812630628, 1.0245348025661318]",32
SKV-0038,steady_learner,0.04368882536109074,83.1519627317336,6.388337610473162,ITI_Mumbai,India,Industrial,18,none,0,GMAW,2023-04-23,"[0.977768090208357, 0.9270113022322553, 1.0373667925235712, 1.056351577995328, 1.0529487786604326, 0.9786416550458386]",23
SKV-0039,slow_starter,0.04919694290295303,85.52225721613264,6.230177968298729,Welding_Academy_UK,UK,Vocational,28,some_manual,8,GMAW,2024-06-12,"[1.126866849012234, 0.8077867665910756, 0.9496955835821229, 0.9792518299722308, 0.9437255564305822, 1.2300787592964888]",33
SKV-0040,slow_starter,0.05140612027089326,82.5615760667432,1.5451501501859726,Indian_Railways_WS,India,Corporate,22,none,0,GTAW,2024-04-10,"[0.961631872316987, 1.0079771714973766, 1.0250431100252246, 0.8446603500932025, 0.8496263295941439, 0.9528218105228031]",26
SKV-0041,steady_learner,0.11822640170907797,79.07135073317109,1.4494262580455946,ITI_Chennai,India,Industrial,16,some_manual,8,GTAW,2023-12-15,"[0.7898504051421126, 0.7483151879811308, 0.8299006906291114, 0.8560078177228132, 0.8831173197274351, 1.0343238908191672]",28
SKV-0042,plateau_learner,0.1315286604199748,71.90671603111187,10.200791221911341,Welding_Academy_UK,UK,Vocational,24,basic_theory,3,GMAW,2023-06-09,"[0.968180587331915, 0.7, 0.7558793157071937, 0.8564648009583705, 1.3, 0.9955932234843069]",34
SKV-0043,steady_learner,0.11457503273236577,77.20532845263618,5.732299820621153,CTE_Michigan,USA,CTE_School,30,none,0,GMAW,2024-05-17,"[1.0153810228804814, 1.1169530933706606, 0.843887988308313, 1.0131704081530684, 0.9447287835607933, 0.8978258104179754]",31
SKV-0044,steady_learner,0.10191463675100917,74.15048046745378,4.2334874465076116,Maruti_Training,India,Corporate,25,basic_theory,3,GMAW,2023-02-22,"[1.030789287501917, 1.0850835730381965, 1.162467023118811, 0.9885819385531864, 1.2521184627775734, 0.7888855575951308]",22
SKV-0045,steady_learner,0.14001884176867996,83.59950001257052,4.417861039657234,CTE_Ohio,USA,CTE_School,26,none,0,GMAW,2023-07-02,"[0.97215247736824, 1.0973071630905404, 1.1125594414109434, 1.1245565074845243, 1.0322467598539513, 0.8348829777621043]",29
SKV-0046,fast_learner,0.11669571121044606,92.40848213478871,3.5662707080586884,Welding_Academy_UK,UK,Vocational,19,some_manual,8,GMAW,2024-09-17,"[0.9382689018085908, 0.8749390231481866, 0.841451951480357, 1.118381680456504, 1.0144447754746673, 1.0257981443599302]",13
SKV-0047,plateau_learner,0.12065661873934119,78.14337907718485,2.8391153392680524,ITI_Chennai,India,Industrial,16,basic_theory,3,GMAW,2024-06-12,"[0.9719902212491226, 1.0744785533904873, 0.9912901459400701, 0.9318528190630228, 0.9385933341000309, 1.037847572861141]",33
SKV-0048,fast_learner,0.19640022005331556,88.19184648533758,4.660700879123288,NSDC_Delhi,India,Government,22,experienced,15,GTAW,2023-08-09,"[1.019890313422284, 1.1051600274746058, 1.2346009271076606, 0.9245598112399966, 0.9374409185701729, 1.095930028028498]",21
SKV-0049,fast_learner,0.14996239275215523,85.82096323683022,2.286157962748507,Maruti_Training,India,Corporate,18,basic_theory,3,SMAW,2024-11-19,"[1.126964828188353, 1.0477310973054965, 1.0222385990677376, 0.8078659134777184, 0.9691976872088944, 0.9933014064933152]",25
SKV-0050,slow_starter,0.0681483606930395,83.71097457054961,5.505854408426252,Hyundai_Academy,India,Corporate,29,some_manual,8,GMAW,2024-06-07,"[1.0499107190869108, 0.8691095541013304, 0.9098767831817174, 1.1074552268409799, 1.1004651384074418, 1.0868559299733305]",28
SKV-0051,steady_learner,0.11120140704766927,80.45725234124058,4.470407096773668,Hyundai_Academy,India,Corporate,36,experienced,15,GTAW,2023-08-02,"[0.9706990039304966, 1.0869757414489725, 0.9894081502958706, 0.8540316093272431, 0.958377497312873, 1.2653687037221262]",26
SKV-0052,slow_starter,0.055322503622876,90.75904951154737,3.531112536895225,NSDC_Delhi,India,Government,19,basic_theory,3,SMAW,2023-08-23,"[1.00696245462195, 1.1612216002124514, 0.895531944664706, 0.9181506047928737, 1.0956244094750567, 0.9437579789876821]",34
SKV-0053,plateau_learner,0.1540830409033918,72.76566375642778,7.786018971556647,NSDC_Delhi,India,Government,31,none,0,GMAW,2023-07-16,"[1.0038034440498917, 1.0805418778100575, 0.8306888793453724, 1.101095206493714, 1.0007803294131237, 1.1317510858282314]",32
SKV-0054,steady_learner,0.09266844290512202,87.20266241213749,3.5025640806837184,CTE_Michigan,USA,CTE_School,19,some_manual,8,GMAW,2024-08-12,"[1.2299315711445895, 0.7879970851220682, 0.99643834908508, 0.8402208488233092, 1.0392967422701895, 1.0536904009846824]",31
SKV-0055,fast_learner,0.0794995787083998,92.35976488469693,3.004067124693799,Welding_Academy_UK,UK,Vocational,16,some_manual,8,GMAW,2023-06-06,"[1.0804192343406778, 0.7681474647526534, 0.966297124587914, 1.0201107596516414, 0.7458109974641738, 1.0787624037960266]",19
SKV-0056,steady_learner,0.13621940924847176,86.677382103136,4.174847241829177,Community_College_CA,USA,CTE_School,20,none,0,GMAW,2023-09-29,"[1.0197249109380937, 1.0964596056173084, 0.9028070867707815, 0.9712198855685293, 1.0628429940448476, 0.8859019618467171]",26
SKV-0057,slow_starter,0.04393520243559257,81.62386694038435,3.4863571811279606,NSDC_Delhi,India,Government,24,none,0,SMAW,2024-10-14,"[1.0514693818053555, 1.0131663820173489, 1.2858361763072295, 0.9223842151401214, 0.9596537012802927, 0.9140215700138342]",34
SKV-0058,steady_learner,0.13766097606982972,85.14553214162942,6.232194203683475,ITI_Mumbai,India,Industrial,22,basic_theory,3,GMAW,2023-12-03,"[1.0914543637250664, 0.9037529198417502, 1.2270087799608587, 0.9347097292295566, 0.9086469090902386, 1.0380697338481948]",28
SKV-0059,steady_learner,0.041503562729723005,84.70069504549119,7.880797364258151,ITI_Mumbai,India,Industrial,23,none,0,GMAW,2024-04-10,"[1.1632415386060717, 1.0310593472046425, 0.9208647545770492, 1.1528998336711955, 1.0763068479679523, 0.9679791349815237]",28
SKV-0060,slow_starter,0.05698900777104888,79.57633994853502,4.364274215483471,ITI_Chennai,India,Industrial,16,basic_theory,3,GTAW,2023-05-16,"[0.7602414432738905, 0.8700036116105453, 0.9049622969921687, 1.200447172612944, 1.0543004866282273, 1.0325187305042332]",34
SKV-0061,fast_learner,0.1570398900850958,88.10000661075462,4.885668785055305,NSDC_Delhi,India,Government,31,some_manual,8,GMAW,2024-04-04,"[0.7795620206529825, 0.8753946828759339, 0.870257382635321, 0.7875217228093271, 0.9136576584536767, 1.0825322996556048]",17
SKV-0062,plateau_learner,0.12456125432295823,90.4373340074915,6.36432190888924,CTE_Ohio,USA,CTE_School,27,basic_theory,3,GMAW,2023-03-09,"[1.0182137882088031, 0.8452438590597667, 0.8268641558621126, 0.7860285442433572, 1.1645702802285038, 1.1454941141132182]",29
SKV-0063,steady_learner,0.09808490060112156,82.95518420195876,1.329830198617799,Welding_Academy_UK,UK,Vocational,20,none,0,GMAW,2024-07-25,"[0.8667762251239064, 1.1093353415419591, 0.8689774149054204, 0.7989273290611912, 1.0922488149237426, 0.9526359740407522]",31
SKV-0064,steady_learner,0.09156568821956401,86.04620671389033,3.978037969295023,Community_College_CA,USA,CTE_School,25,basic_theory,3,GMAW,2023-07-23,"[1.1906518267875783, 0.8484309219368895, 0.9306203652325764, 0.9889334610247104, 0.909777190723608, 1.0007342396970162]",22
SKV-0065,fast_learner,0.09045821443872193,84.96295376161932,2.369307674322424,Community_College_CA,USA,CTE_School,30,some_manual,8,GMAW,2024-11-09,"[1.2568370535803872, 1.1998814896616674, 1.0877122520921894, 0.9588308883110322, 1.1440755593175667, 0.863984843313945]",22
SKV-0066,slow_starter,0.06190920935117657,91.60833805661329,5.622415188345544,Welding_Academy_UK,UK,Vocational,25,none,0,GMAW,2023-07-23,"[1.0806385288163796, 0.8601364732508426, 1.0828741026574742, 1.1307405351475668, 1.0304281873765415, 0.9988754129775083]",30
SKV-0067,steady_learner,0.1207374102659862,75.54714572941985,2.3379181640561466,Maruti_Training,India,Corporate,16,experienced,15,GTAW,2024-11-02,"[0.8446120131387913, 1.0257648453704513, 0.874336600973957, 1.1546454633764072, 0.8615459829977061, 1.0650160992780402]",27
SKV-0068,struggling,0.07677438057754456,52.224351394406625,7.4419230103813545,ITI_Mumbai,India,Industrial,42,basic_theory,3,GMAW,2024-02-08,"[1.1574311890397502, 1.0898905429960115, 0.9821511142241034, 0.9824381595798163, 0.8612908261090505, 0.9678813075993336]",35
SKV-0069,steady_learner,0.13871960540112677,91.18555087630102,6.352785804398421,Maruti_Training,India,Corporate,21,basic_theory,3,GMAW,2023-10-26,"[0.8679733985169187, 1.0287639753672801, 0.9171577509934108, 0.8432364474939673, 1.0574318637051494, 1.02412840512896]",20
SKV-0070,steady_learner,0.09890225724598649,85.75927161208088,4.383359207555801,Hyundai_Academy,India,Corporate,23,basic_theory,3,GMAW,2023-03-04,"[0.8800336621348073, 1.0841516710046137, 1.1815233109711527, 1.181146200916647, 1.0690329920034727, 1.0919167489785473]",23
SKV-0071,slow_starter,0.09913336914430679,79.25771812922312,6.511266965364131,Hyundai_Academy,India,Corporate,25,none,0,GMAW,2023-06-21,"[1.0341779458407772, 0.9722152692259023, 0.997709349971687, 1.175025131879258, 1.1305726351120515, 1.2342383718026322]",28
SKV-0072,steady_learner,0.13904876914391168,90.22241080683348,6.3507929714046085,CTE_Ohio,USA,CTE_School,22,none,0,GMAW,2023-06-23,"[0.9219641257039414, 0.8069918575683303, 0.8695741232086774, 0.9464254327416506, 0.7152124320579232, 0.9429489173051]",28
SKV-0073,steady_learner,0.08880102537197042,75.43668326750746,5.384030120041524,ITI_Mumbai,India,Industrial,17,none,0,GTAW,2024-08-20,"[0.9582969589844716, 1.135091250764594, 1.0246268990762806, 0.9531044401678804, 0.8839311019916415, 0.8591690878225764]",24
SKV-0074,slow_starter,0.05798753991992671,81.30570422722919,8.314003293886561,ITI_Chennai,India,Industrial,17,some_manual,8,GMAW,2023-04-25,"[1.139532295512184, 0.85179447191924, 0.9298707470285731, 0.9013195901673933, 1.0534074075533626, 0.942143146034512]",27
SKV-0075,fast_learner,0.14827872685050925,85.08736376990835,1.2952907940450578,NSDC_Delhi,India,Government,23,basic_theory,3,GTAW,2023-08-30,"[1.106340413794385, 0.9957460543871766, 1.2198073594222953, 1.1460064537240453, 1.144290438095496, 1.0880080893847823]",18
SKV-0076,fast_learner,0.20815364624865562,88.97743357014069,4.672494294696233,CTE_Ohio,USA,CTE_School,22,none,0,GMAW,2023-09-28,"[0.8727604082987235, 0.9801109327457009, 1.1497398469624691, 0.9598390189622849, 0.8997501727579449, 1.019959459737428]",22
SKV-0077,fast_learner,0.1321055552253161,88.41888274700943,2.1593536959209874,CTE_Texas,USA,CTE_School,20,none,0,GMAW,2024-03-17,"[0.9455669368005875, 0.8383356568068928, 0.879008540110533, 0.9444255194793487, 1.0197148810118684, 0.982364508298433]",21
SKV-0078,steady_learner,0.1437134816477927,78.51422046650647,1.9851615937552762,CTE_Ohio,USA,CTE_School,29,none,0,GMAW,2024-07-12,"[1.1313962482232216, 1.0153015701115, 1.2653515787471132, 0.8819141484781207, 1.0221151062560307, 1.1524174389567317]",25
SKV-0079,fast_learner,0.14161203383147133,90.6576518153413,3.5055193658997235,CTE_Texas,USA,CTE_School,19,none,0,GMAW,2023-11-14,"[1.1864556335727954, 0.9216936515256872, 0.9736145242290011, 0.959107762069113, 1.0090440688048314, 1.3]",17
SKV-0080,struggling,0.031179940427839843,61.08860472016311,10.578229450609905,ITI_Chennai,India,Industrial,17,some_manual,8,GMAW,2024-04-29,"[1.0865831717354775, 1.0096684561000395, 0.9535819572408357, 1.114615182867889, 0.9368599301690407, 0.930824212091344]",31
SKV-0081,steady_learner,0.11258405998654816,92.5619263664914,5.1635726473842665,ITI_Chennai,India,Industrial,17,none,0,GTAW,2024-10-11,"[0.8592743666796199, 0.9584524108413792, 1.08414321262939, 0.9341310910069891, 1.125544671112487, 1.0115368524267756]",31
SKV-0082,steady_learner,0.12053496480689505,87.4881533334077,1.7578670489410326,CTE_Texas,USA,CTE_School,16,basic_theory,3,SMAW,2023-03-19,"[0.9789498149376599, 1.062368337517329, 0.9064481964263431, 1.1310011090736194, 1.0737407691506926, 1.0861877104553626]",27
SKV-0083,plateau_learner,0.11044354532849918,74.9090938395661,4.964447248741084,Hyundai_Academy,India,Corporate,31,none,0,GTAW,2023-12-04,"[1.0274368166656127, 0.9543708682476547, 0.7, 1.0463620376112877, 1.0314187521405056, 1.042459112228886]",27
SKV-0084,steady_learner,0.08791180452582181,73.76392540173359,5.030257199897707,Maruti_Training,India,Corporate,31,some_manual,8,GMAW,2024-07-20,"[1.0718699205365092, 0.9347568348265138, 1.1200657990841845, 1.0891836813909919, 0.9629246234998431, 0.9493888461769961]",31
SKV-0085,fast_learner,0.21122565423786904,84.73984743695505,3.368431230746473,ITI_Mumbai,India,Industrial,25,basic_theory,3,GTAW,2023-01-25,"[1.0483031777042784, 0.9988226090077363, 1.051647147311653, 1.0464091634429578, 0.8902795687992825, 0.9927859229855531]",16
SKV-0086,steady_learner,0.1301397777155023,77.91528073510777,2.584828330903406,Welding_Academy_UK,UK,Vocational,22,basic_theory,3,GMAW,2023-06-17,"[1.1722670041529355, 0.8919074434738008, 0.9969658511952029, 0.9039745131776634, 1.2901789835606612, 0.9966032977569653]",25
SKV-0087,fast_learner,0.17480834212509563,92.89402918640982,4.323246496203989,Hyundai_Academy,India,Corporate,18,basic_theory,3,GMAW,2024-01-28,"[0.8410737817124759, 0.9074403305070746, 0.8947390275734604, 1.1213211784428796, 0.9240785856022012, 1.0368465683493706]",23
SKV-0088,slow_starter,0.07210333131178324,80.28613553385722,4.09366245635132,CTE_Texas,USA,CTE_School,19,none,0,GTAW,2024-03-11,"[0.9528133876551759, 0.9014688443587013, 1.0511486319077892, 0.971493877284956, 0.8889466098605744, 1.170393686371076]",29
SKV-0089,fast_learner,0.20699248745465093,76.03757584229442,2.6587516806712377,Tata_Motors_TC,India,Corporate,32,basic_theory,3,SMAW,2023-05-31,"[1.0313963198280987, 0.784954073686791, 0.9364466331697038, 1.1253398372970176, 0.9154821821507333, 0.821880827693709]",19
SKV-0090,steady_learner,0.1191937107232866,75.92103939627735,4.530836410321289,CTE_Ohio,USA,CTE_School,20,none,0,GTAW,2024-09-10,"[0.9306495484689632, 1.1976053256169112, 1.1342816786836847, 0.9359027020302558, 0.715103655540938, 1.0142056379283308]",30
SKV-0091,slow_starter,0.04241741264025753,74.84813385647965,2.3263246906754635,CTE_Michigan,USA,CTE_School,33,experienced,15,GMAW,2023-08-16,"[0.9383033373040729, 1.181612010007766, 0.9962331597007156, 0.9080256800695056, 1.2298893582184574, 0.8883259216328555]",32
SKV-0092,fast_learner,0.1261193762249589,91.52953469748914,3.3115862695479863,Welding_Academy_UK,UK,Vocational,16,none,0,GMAW,2023-06-08,"[0.9449232410428935, 0.9350960431821627, 1.037684526437423, 1.3, 1.3, 1.1261432470637107]",18
SKV-0093,plateau_learner,0.13783467389650947,77.25451746441541,5.817650181848462,CTE_Ohio,USA,CTE_School,16,basic_theory,3,GMAW,2024-02-22,"[0.831361245426463, 1.0803364197348955, 1.0190972414089101, 1.0071963375179203, 0.8459915814026533, 0.9764996963673591]",33
SKV-0094,steady_learner,0.11265878054144601,81.43290630903178,4.670801337163938,NSDC_Delhi,India,Government,23,some_manual,8,GMAW,2023-12-24,"[1.0739356768709452, 1.076198631459607, 0.9107442693909297, 1.2902520831813007, 1.0304655276661847, 1.075809376850345]",25
SKV-0095,fast_learner,0.13406173718707798,85.0884893428502,2.4046627252569226,Community_College_CA,USA,CTE_School,17,basic_theory,3,GTAW,2023-11-16,"[0.9250363160445118, 0.9096228548712311, 0.8779246482771037, 0.9544345218738605, 0.923208657720638, 0.8713961643381168]",18
SKV-0096,steady_learner,0.16311732875266685,79.8362837956533,4.093734978531829,ITI_Mumbai,India,Industrial,41,basic_theory,3,GMAW,2024-11-09,"[0.9570185083861809, 1.1061012953667166, 0.8141402463528662, 0.9358453485644666, 1.0395009607686683, 1.1044101408592615]",21
SKV-0097,plateau_learner,0.0788539047970064,68.7389832747156,4.844760289733413,Hyundai_Academy,India,Corporate,44,experienced,15,GMAW,2023-02-12,"[1.175673332247248, 0.9991313360903077, 0.8720647581180554, 0.9913439444733058, 1.0053759020401438, 1.046419089605055]",31
SKV-0098,plateau_learner,0.12436911277010224,77.54773647184484,1.0,Tata_Motors_TC,India,Corporate,22,none,0,GMAW,2024-07-15,"[1.1950862660166206, 0.8494925189637572, 0.8932316201741846, 1.0919339205534495, 1.2338984207114914, 0.8879109453297961]",31
SKV-0099,steady_learner,0.07645811597916828,85.08618519728053,3.3056783027029764,CTE_Ohio,USA,CTE_School,26,basic_theory,3,GTAW,2023-08-07,"[0.9114925726996801, 1.0539077215821993, 1.0455879588316501, 0.9741640497461667, 0.9821277483134034, 1.0499137467855888]",29
SKV-0100,fast_learner,0.14735453545179977,91.20516623969243,1.8258244379008524,CTE_Ohio,USA,CTE_School,19,some_manual,8,SMAW,2023-04-05,"[1.101819773854309, 1.1285438512638706, 1.0973980365587, 0.985670386146948, 1.0581207747077006, 1.1179569830690732]",17
